"","gender","age","continent","highest_degree","current_employment","check","platform","philanthropist","socialiser","free_spirit","achiever","disruptor","player","mean_score"
"1","Male","26-40","America","Bachelor","Full time","A few times a week","MTurk",19,19,19,18,18,20,0.716227766016838
"2","Male","26-40","America","High school","Full time","A few times a week","MTurk",18,18,18,23,19,20,0.795533118756597
"3","Male","18-25","Asia","Bachelor","Full time","Once a day","MTurk",24,28,23,15,20,24,0.8
"4","Male","Over 40","Europe","Bachelor","Part time","Several times a day","Microworkers",27,26,26,25,19,24,0.951185789203691
"5","Male","18-25","America","Bachelor","Full time","A few times a week","MTurk",20,17,19,23,22,20,0.93228756555323
"6","Male","26-40","America","Bachelor","Full time","Once a day","Microworkers",19,15,17,19,9,20,0.91
"7","Male","26-40","Asia","Bachelor","Full time","Several times a day","MTurk",26,24,25,24,21,25,0.91
"8","Male","Over 40","America","Bachelor","Full time","Several times a day","MTurk",24,20,24,23,18,23,0.461165231038674
"9","Male","26-40","America","Bachelor","Unemployed","Several times a day","Microworkers",28,22,21,24,18,28,0.775141149680191
"10","Male","26-40","America","Bachelor","Full time","Hardly ever","MTurk",18,21,18,20,24,21,0.579051491835104
"11","Male","18-25","Asia","Master","Part time","Several times a day","Microworkers",27,24,24,26,24,25,0.958113883008419
"12","Male","26-40","Asia","Bachelor","Part time","Several times a day","Microworkers",28,28,28,25,12,26,0.758113883008419
"13","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",24,27,26,25,25,26,1
"14","Female","26-40","Asia","Bachelor","Full time","A few times a week","Microworkers",27,27,28,27,25,28,0.8
"15","Female","26-40","Asia","Master","Part time","Once a day","Microworkers",27,24,24,24,25,25,1
"16","Male","26-40","Asia","Bachelor","Full time","Once a day","MTurk",22,23,25,22,24,23,0.918113883008419
"17","Female","18-25","Asia","Bachelor","Full time","Once a day","MTurk",26,23,22,25,23,24,0.658778671959965
"18","Female","Over 40","America","Bachelor","Retired","Once a day","Microworkers",26,27,23,25,12,26,1
